CustomerID,CustomerName,Age,Gender,MaritalStatus,AnnualIncome_INR,EmploymentType,CreditScore,GeographicRegion
CUST-00042,Ekta Pillai,59,Female,Single,1055000,Self-Employed Professional,657,Delhi NCR
CUST-00043,Bhavesh Gill,38,Male,Single,463000,Salaried Corporate,823,Kolkata
CUST-00044,Deepika Pathak,24,Female,Single,480000,Salaried Corporate,763,Kolkata
CUST-00045,Geeta Patil,45,Female,Divorced,1147000,Salaried Corporate,768,Delhi NCR
CUST-00046,Archana Malhotra,34,Female,Married,815000,Salaried Corporate,719,Ahmedabad
CUST-00047,Sachin Das,29,Male,Married,271000,Self-Employed Professional,787,Chennai
CUST-00048,Vandana Sharma,46,Female,Divorced,895000,Salaried Corporate,809,Chennai
CUST-00049,Deepika Patil,22,Female,Married,727000,Salaried Corporate,747,Pune
CUST-00050,Vaibhav Gill,40,Male,Married,945000,Salaried Corporate,683,Ahmedabad
CUST-00051,Nishant Pandey,48,Male,Married,896000,Self-Employed Professional,624,Lucknow
CUST-00052,Ranjan Aggarwal,67,Male,Married,1210000,Self-Employed Professional,789,Jaipur
CUST-00053,Aanya Dhawan,27,Female,Single,871000,Business Owner,732,Pune
CUST-00054,Manisha Pillai,64,Female,Married,964000,Self-Employed Professional,658,Mumbai
CUST-00055,Girish Pillai,28,Male,Married,620000,Self-Employed Professional,733,Chennai
CUST-00056,Chetan Yadav,67,Male,Single,1411000,Salaried Corporate,742,Mumbai
CUST-00057,Suresh Roy,55,Male,Single,1094000,Salaried Corporate,822,Pune
CUST-00058,Preeti Gill,34,Female,Single,1049000,Business Owner,620,Chennai
CUST-00059,Varun Das,37,Male,Married,739000,Self-Employed Professional,771,Bengaluru
CUST-00060,Aarav Roy,56,Male,Single,1556000,Government Employee,757,Mumbai
CUST-00061,Aditya Pandey,60,Male,Married,715000,Government Employee,617,Delhi NCR
CUST-00062,Neha Shah,24,Female,Married,564000,Business Owner,650,Bengaluru
CUST-00063,Karan Mukherjee,22,Male,Single,880000,Government Employee,842,Bengaluru
CUST-00064,Baldev Joshi,26,Male,Divorced,763000,Self-Employed Professional,776,Delhi NCR
CUST-00065,Shruti Singh,62,Female,Married,1385000,Salaried Corporate,771,Chennai
CUST-00066,Devendra Trivedi,24,Male,Single,506000,Salaried Corporate,768,Kolkata
CUST-00067,Shashank Banerjee,49,Male,Married,1118000,Business Owner,771,Pune
CUST-00068,Manisha Das,38,Female,Married,959000,Salaried Corporate,715,Kolkata
CUST-00069,Raman Goel,46,Male,Married,895000,Salaried Corporate,742,Bengaluru
CUST-00070,Himanshu Kulkarni,64,Male,Single,994000,Salaried Corporate,624,Pune
CUST-00071,Praveen Arora,54,Male,Divorced,1032000,Salaried Corporate,765,Bengaluru
CUST-00072,Sanjana Pandey,30,Female,Married,240000,Self-Employed Professional,850,Hyderabad
CUST-00073,Jatin Singh,56,Male,Married,798000,Self-Employed Professional,773,Chennai
CUST-00074,Ananya Bose,34,Female,Single,240000,Self-Employed Professional,648,Hyderabad
CUST-00075,Jitendra Bose,51,Male,Single,1111000,Self-Employed Professional,743,Hyderabad
CUST-00076,Aarav Singh,35,Male,Married,734000,Salaried Corporate,850,Kolkata
CUST-00077,Ankita Jain,28,Female,Single,240000,Salaried Corporate,789,Chennai
CUST-00078,Aisha Rao,34,Female,Single,494000,Government Employee,657,Mumbai
CUST-00079,Tarun Shah,43,Male,Single,455000,Salaried Corporate,627,Ahmedabad
CUST-00080,Shruti Goel,60,Female,Married,992000,Self-Employed Professional,720,Mumbai
CUST-00081,Devendra Dhawan,41,Male,Single,723000,Self-Employed Professional,701,Jaipur
CUST-00082,Vivek Mukherjee,36,Male,Single,726000,Salaried Corporate,683,Hyderabad
CUST-00083,Kapil Nair,65,Male,Divorced,1031000,Salaried Corporate,778,Kolkata
CUST-00084,Jyoti Mishra,38,Female,Single,934000,Salaried Corporate,740,Pune
CUST-00085,Ranjan Naidu,67,Male,Married,1247000,Salaried Corporate,794,Lucknow
CUST-00086,Sachin Dhawan,44,Male,Married,778000,Salaried Corporate,707,Bengaluru
CUST-00087,Bhupendra Kumar,46,Male,Divorced,398000,Government Employee,715,Ahmedabad
CUST-00088,Nishant Mishra,45,Male,Married,571000,Self-Employed Professional,643,Lucknow
CUST-00089,Jyoti Garg,65,Female,Married,1232000,Salaried Corporate,730,Delhi NCR
CUST-00090,Ekta Mehra,61,Female,Divorced,962000,Self-Employed Professional,638,Lucknow
CUST-00091,Meenal Grover,49,Female,Married,545000,Salaried Corporate,802,Bengaluru
CUST-00092,Ayush Arora,35,Male,Married,1028000,Salaried Corporate,657,Pune
CUST-00093,Vijay Mishra,65,Male,Single,1415000,Business Owner,733,Pune
CUST-00094,Vaishali Sharma,21,Female,Married,602000,Government Employee,595,Pune
CUST-00095,Lata Aggarwal,45,Female,Married,968000,Self-Employed Professional,624,Kolkata
CUST-00096,Shreyas Nair,27,Male,Married,240000,Government Employee,686,Ahmedabad
CUST-00097,Rashmi Kumar,29,Female,Married,518000,Government Employee,716,Ahmedabad
CUST-00098,Payal Sharma,44,Female,Single,782000,Self-Employed Professional,830,Bengaluru
CUST-00099,Manisha Grover,21,Female,Married,324000,Government Employee,787,Ahmedabad
CUST-00100,Raman Deshmukh,64,Male,Married,686000,Self-Employed Professional,630,Lucknow
CUST-00101,Vikas Shinde,28,Male,Single,481000,Salaried Corporate,583,Delhi NCR
CUST-00102,Shreyas Pathak,44,Male,Married,1303000,Business Owner,797,Hyderabad
CUST-00103,Manish Goel,31,Male,Married,850000,Salaried Corporate,610,Delhi NCR
CUST-00104,Yash Sen,37,Male,Divorced,1279000,Salaried Corporate,722,Pune
CUST-00105,Alok Sen,28,Male,Single,922000,Salaried Corporate,705,Bengaluru
CUST-00106,Ankita Kumar,55,Female,Married,1605000,Business Owner,689,Lucknow
CUST-00107,Shivam Pillai,55,Male,Single,1735000,Salaried Corporate,850,Lucknow
CUST-00108,Utkarsh Aggarwal,53,Male,Married,1042000,Salaried Corporate,738,Bengaluru
CUST-00109,Swati Joshi,25,Female,Single,887000,Salaried Corporate,588,Pune
CUST-00110,Ishita Singh,62,Female,Married,498000,Self-Employed Professional,644,Hyderabad
CUST-00111,Archana Patil,59,Female,Married,1349000,Salaried Corporate,809,Chennai
CUST-00112,Rajesh Pandey,61,Male,Single,793000,Self-Employed Professional,819,Pune
CUST-00113,Vidya Shah,48,Female,Married,764000,Government Employee,778,Lucknow
CUST-00114,Amrita Dutta,27,Female,Married,403000,Salaried Corporate,707,Pune
CUST-00115,Rakesh Shinde,29,Male,Married,1120000,Government Employee,678,Bengaluru
CUST-00116,Vidya Das,28,Female,Married,376000,Salaried Corporate,760,Hyderabad
CUST-00117,Krunal Goel,32,Male,Married,1025000,Salaried Corporate,612,Bengaluru
CUST-00118,Nikhil Shah,54,Male,Single,1630000,Business Owner,751,Bengaluru
CUST-00119,Rohit Trivedi,53,Male,Married,1490000,Government Employee,722,Lucknow
CUST-00120,Mayank Grover,43,Male,Married,1194000,Salaried Corporate,769,Jaipur
CUST-00121,Ayush Sharma,44,Male,Married,699000,Self-Employed Professional,664,Lucknow
CUST-00122,Vidya Mishra,57,Female,Married,1168000,Salaried Corporate,667,Chennai
CUST-00123,Inderjeet Pillai,55,Male,Single,649000,Self-Employed Professional,756,Lucknow
CUST-00124,Disha Naidu,64,Female,Married,2117000,Business Owner,618,Delhi NCR
CUST-00125,Anuj Shah,60,Male,Married,976000,Salaried Corporate,758,Mumbai
CUST-00126,Gaurav Arora,42,Male,Married,1252000,Business Owner,587,Bengaluru
CUST-00127,Varun Kulkarni,47,Male,Married,706000,Salaried Corporate,782,Bengaluru
CUST-00128,Tanya Sharma,55,Female,Married,933000,Self-Employed Professional,739,Hyderabad
CUST-00129,Vandana Joshi,21,Female,Married,344000,Self-Employed Professional,737,Hyderabad
CUST-00130,Chetan Trivedi,55,Male,Divorced,428000,Self-Employed Professional,768,Pune
CUST-00131,Chirag Mishra,57,Male,Married,1536000,Salaried Corporate,652,Hyderabad
CUST-00132,Gayatri Patel,67,Female,Married,988000,Salaried Corporate,648,Delhi NCR
CUST-00133,Ishaan Kulkarni,34,Male,Married,680000,Government Employee,725,Mumbai
CUST-00134,Kavita Patil,23,Female,Single,322000,Government Employee,675,Lucknow
CUST-00135,Manisha Pillai,21,Female,Married,765000,Self-Employed Professional,752,Kolkata
CUST-00136,Kamal Kumar,25,Male,Married,467000,Self-Employed Professional,789,Jaipur
CUST-00137,Raman Patel,46,Male,Single,1564000,Business Owner,724,Jaipur
CUST-00138,Aarav Rao,34,Male,Married,905000,Salaried Corporate,695,Mumbai
CUST-00139,Disha Yadav,59,Female,Married,1146000,Salaried Corporate,687,Jaipur
CUST-00140,Sanjay Banerjee,47,Male,Married,969000,Business Owner,769,Mumbai
CUST-00141,Raman Banerjee,29,Male,Married,791000,Salaried Corporate,719,Mumbai
CUST-00142,Deepika Singh,35,Female,Widowed,846000,Government Employee,667,Delhi NCR
CUST-00143,Divyansh Chatterjee,35,Male,Single,909000,Salaried Corporate,632,Lucknow
CUST-00144,Praveen Bose,46,Male,Married,1100000,Self-Employed Professional,754,Chennai
CUST-00145,Garima Mehra,62,Female,Married,918000,Self-Employed Professional,738,Jaipur
CUST-00146,Abhishek Joshi,33,Male,Married,954000,Salaried Corporate,676,Pune
CUST-00147,Amrita Naidu,52,Female,Single,1048000,Self-Employed Professional,687,Jaipur
CUST-00148,Laxmi Shinde,59,Female,Married,949000,Self-Employed Professional,607,Jaipur
CUST-00149,Pranav Banerjee,52,Male,Divorced,1123000,Salaried Corporate,850,Ahmedabad
CUST-00150,Ravi Dutta,24,Male,Married,889000,Self-Employed Professional,827,Kolkata
CUST-00151,Divyansh Shah,50,Male,Married,1293000,Salaried Corporate,691,Bengaluru
CUST-00152,Isha Khanna,57,Female,Divorced,714000,Self-Employed Professional,782,Lucknow
CUST-00153,Girish Sen,43,Male,Married,1295000,Salaried Corporate,834,Bengaluru
CUST-00154,Ritu Shinde,59,Female,Married,1749000,Business Owner,710,Hyderabad
CUST-00155,Laxmi Patel,65,Female,Divorced,1345000,Salaried Corporate,651,Jaipur
CUST-00156,Chetan Malhotra,35,Male,Single,696000,Self-Employed Professional,697,Bengaluru
CUST-00157,Aisha Nair,63,Female,Married,1484000,Business Owner,805,Ahmedabad
CUST-00158,Himanshu Grover,49,Male,Married,1383000,Business Owner,723,Ahmedabad
CUST-00159,Neha Jain,56,Female,Married,1203000,Business Owner,637,Chennai
CUST-00160,Anjali Shinde,33,Female,Married,863000,Salaried Corporate,732,Delhi NCR
CUST-00161,Rajesh Rao,52,Male,Single,1273000,Government Employee,708,Chennai
CUST-00162,Anuj Patel,27,Male,Married,601000,Salaried Corporate,703,Hyderabad
CUST-00163,Swati Kapoor,42,Female,Single,1188000,Salaried Corporate,850,Kolkata
CUST-00164,Ushma Rao,48,Female,Single,937000,Salaried Corporate,591,Mumbai
CUST-00165,Deepika Mehta,22,Female,Married,854000,Business Owner,743,Bengaluru
CUST-00166,Yash Mehta,62,Male,Married,1090000,Business Owner,647,Ahmedabad
CUST-00167,Chetan Roy,65,Male,Single,1497000,Business Owner,792,Mumbai
CUST-00168,Pankaj Dhawan,26,Male,Married,479000,Salaried Corporate,696,Lucknow
CUST-00169,Nikhil Mehra,48,Male,Married,541000,Salaried Corporate,779,Bengaluru
CUST-00170,Chirag Malhotra,48,Male,Single,607000,Self-Employed Professional,850,Bengaluru
CUST-00171,Vivek Garg,64,Male,Divorced,810000,Government Employee,795,Ahmedabad
CUST-00172,Sakshi Sharma,64,Female,Married,1294000,Salaried Corporate,700,Mumbai
CUST-00173,Vaibhav Patil,40,Male,Single,1163000,Government Employee,577,Lucknow
CUST-00174,Himanshu Chawla,50,Male,Widowed,752000,Self-Employed Professional,763,Pune
CUST-00175,Anuj Shinde,31,Male,Married,1083000,Business Owner,637,Kolkata
CUST-00176,Nikita Dutta,48,Female,Married,1245000,Salaried Corporate,742,Hyderabad
CUST-00177,Deepak Dhawan,45,Male,Married,1269000,Business Owner,639,Lucknow
CUST-00178,Mayank Pillai,59,Male,Married,1032000,Government Employee,736,Bengaluru
CUST-00179,Ravi Reddy,53,Male,Married,1082000,Salaried Corporate,850,Lucknow
CUST-00180,Muskan Banerjee,21,Female,Married,893000,Salaried Corporate,732,Chennai
CUST-00181,Jyoti Khanna,47,Female,Single,1056000,Government Employee,658,Pune
CUST-00182,Piyush Patil,33,Male,Divorced,851000,Salaried Corporate,733,Delhi NCR
CUST-00183,Girish Dutta,61,Male,Married,1141000,Salaried Corporate,709,Chennai
CUST-00184,Rashmi Banerjee,23,Female,Married,545000,Salaried Corporate,717,Bengaluru
CUST-00185,Aanya Joshi,59,Female,Single,1147000,Self-Employed Professional,804,Jaipur
CUST-00186,Kavita Mehra,26,Female,Married,706000,Salaried Corporate,787,Bengaluru
CUST-00187,Nisha Grover,28,Female,Married,411000,Salaried Corporate,753,Jaipur
CUST-00188,Saloni Patil,47,Female,Married,846000,Salaried Corporate,699,Chennai
CUST-00189,Shikha Sen,29,Female,Divorced,1154000,Salaried Corporate,682,Ahmedabad
CUST-00190,Baldev Desai,57,Male,Divorced,875000,Self-Employed Professional,683,Jaipur
CUST-00191,Naveen Joshi,53,Male,Married,1331000,Salaried Corporate,850,Ahmedabad
CUST-00192,Karan Patil,62,Male,Married,758000,Government Employee,769,Delhi NCR
CUST-00193,Kajal Pathak,64,Female,Single,1123000,Salaried Corporate,621,Bengaluru
CUST-00194,Laxmi Nair,44,Female,Married,1102000,Self-Employed Professional,733,Ahmedabad
CUST-00195,Ashi Grover,35,Female,Single,773000,Self-Employed Professional,573,Pune
CUST-00196,Vivek Garg,52,Male,Married,1550000,Salaried Corporate,850,Lucknow
CUST-00197,Rahul Menon,52,Male,Divorced,1552000,Business Owner,665,Hyderabad
CUST-00198,Kapil Pathak,44,Male,Single,363000,Government Employee,663,Chennai
CUST-00199,Aarav Gill,61,Male,Married,1230000,Self-Employed Professional,712,Chennai
CUST-00200,Chhavi Mehra,32,Female,Widowed,359000,Salaried Corporate,818,Kolkata
CUST-00201,Isha Deshmukh,59,Female,Married,1469000,Business Owner,614,Pune
CUST-00202,Sachin Kumar,22,Male,Married,856000,Business Owner,749,Mumbai
CUST-00203,Kapil Pandey,23,Male,Married,240000,Self-Employed Professional,694,Ahmedabad
CUST-00204,Ekta Grover,57,Female,Married,1443000,Government Employee,653,Mumbai
CUST-00205,Vikas Roy,37,Male,Divorced,665000,Self-Employed Professional,693,Hyderabad
CUST-00206,Saloni Dutta,22,Female,Married,832000,Salaried Corporate,643,Bengaluru
CUST-00207,Suresh Mehra,22,Male,Single,769000,Salaried Corporate,650,Bengaluru
CUST-00208,Vijay Arora,48,Male,Single,610000,Salaried Corporate,639,Chennai
CUST-00209,Shashank Arora,43,Male,Single,665000,Self-Employed Professional,730,Ahmedabad
CUST-00210,Kapil Yadav,57,Male,Married,1379000,Salaried Corporate,778,Pune
CUST-00211,Tanvi Menon,52,Female,Divorced,1547000,Salaried Corporate,723,Chennai
CUST-00212,Lalit Arora,53,Male,Married,1072000,Government Employee,685,Chennai
CUST-00213,Lokesh Shah,21,Male,Widowed,640000,Salaried Corporate,689,Mumbai
CUST-00214,Naveen Reddy,39,Male,Divorced,943000,Salaried Corporate,719,Kolkata
CUST-00215,Varun Joshi,22,Male,Married,240000,Salaried Corporate,737,Mumbai
CUST-00216,Divyansh Jain,64,Male,Married,1295000,Salaried Corporate,704,Kolkata
CUST-00217,Divyansh Kulkarni,46,Male,Married,911000,Salaried Corporate,817,Ahmedabad
CUST-00218,Riya Khanna,52,Female,Single,1183000,Government Employee,737,Hyderabad
CUST-00219,Shalini Khanna,26,Female,Married,553000,Government Employee,816,Ahmedabad
CUST-00220,Ishaan Khanna,52,Male,Married,1198000,Salaried Corporate,822,Chennai
CUST-00221,Yash Deshmukh,24,Male,Married,580000,Self-Employed Professional,721,Chennai
CUST-00222,Vivek Malhotra,31,Male,Married,1304000,Business Owner,646,Jaipur
CUST-00223,Aarav Naidu,37,Male,Married,807000,Salaried Corporate,677,Chennai
CUST-00224,Radhika Khanna,58,Female,Married,1377000,Salaried Corporate,751,Pune
CUST-00225,Vaishali Roy,44,Female,Married,1175000,Government Employee,789,Lucknow
CUST-00226,Shruti Jain,25,Female,Single,679000,Business Owner,751,Lucknow
CUST-00227,Ranjan Menon,54,Male,Married,1148000,Salaried Corporate,728,Chennai
CUST-00228,Nishant Shinde,26,Male,Married,769000,Self-Employed Professional,707,Ahmedabad
CUST-00229,Rashmi Dhawan,42,Female,Married,517000,Self-Employed Professional,734,Jaipur
CUST-00230,Sachin Trivedi,31,Male,Single,898000,Salaried Corporate,512,Lucknow
CUST-00231,Vaibhav Verma,36,Male,Married,1400000,Salaried Corporate,850,Lucknow
CUST-00232,Rani Bose,53,Female,Married,1004000,Salaried Corporate,792,Ahmedabad
CUST-00233,Anjali Joshi,29,Female,Single,568000,Salaried Corporate,601,Ahmedabad
CUST-00234,Ruchi Trivedi,26,Female,Married,576000,Government Employee,620,Kolkata
CUST-00235,Sachin Bansal,36,Male,Married,766000,Salaried Corporate,774,Mumbai
CUST-00236,Krunal Malhotra,49,Male,Married,1118000,Self-Employed Professional,718,Hyderabad
CUST-00237,Inderjeet Grover,23,Male,Single,726000,Government Employee,741,Hyderabad
CUST-00238,Pooja Gill,40,Female,Married,1109000,Salaried Corporate,647,Bengaluru
CUST-00239,Piyush Patel,56,Male,Single,1184000,Salaried Corporate,735,Hyderabad
CUST-00240,Riya Mehta,39,Female,Married,1079000,Government Employee,571,Delhi NCR
CUST-00241,Bhavna Nair,46,Female,Married,1392000,Business Owner,696,Bengaluru
CUST-00242,Varun Kumar,23,Male,Single,503000,Self-Employed Professional,738,Bengaluru
CUST-00243,Pankaj Jain,39,Male,Married,810000,Self-Employed Professional,725,Lucknow
CUST-00244,Anuj Choudhary,40,Male,Married,1113000,Salaried Corporate,593,Mumbai
CUST-00245,Anjali Shah,52,Female,Married,566000,Self-Employed Professional,677,Kolkata
CUST-00246,Ananya Dutta,27,Female,Married,1048000,Business Owner,768,Hyderabad
CUST-00247,Lata Trivedi,61,Female,Married,1137000,Salaried Corporate,792,Ahmedabad
CUST-00248,Chirag Mukherjee,53,Male,Single,1473000,Salaried Corporate,771,Jaipur
CUST-00249,Sachin Deshmukh,60,Male,Single,1346000,Salaried Corporate,765,Delhi NCR
CUST-00250,Preeti Aggarwal,59,Female,Married,1307000,Salaried Corporate,782,Delhi NCR
CUST-00251,Chirag Aggarwal,38,Male,Single,561000,Government Employee,705,Delhi NCR
CUST-00252,Chhavi Bose,60,Female,Single,939000,Self-Employed Professional,648,Ahmedabad
CUST-00253,Neha Mukherjee,21,Female,Married,518000,Salaried Corporate,697,Delhi NCR
CUST-00254,Piyush Kapoor,31,Male,Single,1154000,Business Owner,713,Chennai
CUST-00255,Himanshu Singh,48,Male,Single,966000,Salaried Corporate,761,Pune
CUST-00256,Kapil Mishra,45,Male,Married,861000,Government Employee,707,Lucknow
CUST-00257,Mayank Patil,43,Male,Single,1320000,Business Owner,758,Jaipur
CUST-00258,Divya Mukherjee,51,Female,Married,1874000,Business Owner,579,Delhi NCR
CUST-00259,Amrita Naidu,50,Female,Single,737000,Salaried Corporate,807,Mumbai
CUST-00260,Preeti Singh,62,Female,Married,1111000,Salaried Corporate,625,Delhi NCR
CUST-00261,Pooja Sharma,55,Female,Married,1531000,Salaried Corporate,811,Lucknow
CUST-00262,Shreyas Mishra,27,Male,Married,353000,Salaried Corporate,635,Pune
CUST-00263,Pradeep Yadav,36,Male,Single,1785000,Business Owner,652,Ahmedabad
CUST-00264,Sapna Kulkarni,46,Female,Divorced,1123000,Salaried Corporate,848,Ahmedabad
CUST-00265,Girish Dhawan,22,Male,Married,240000,Self-Employed Professional,653,Delhi NCR
CUST-00266,Megha Dutta,21,Female,Single,839000,Self-Employed Professional,622,Pune
CUST-00267,Ushma Nair,32,Female,Single,521000,Salaried Corporate,701,Delhi NCR
CUST-00268,Ranjan Dhawan,25,Male,Married,628000,Salaried Corporate,789,Kolkata
CUST-00269,Kshitij Reddy,57,Male,Divorced,1277000,Government Employee,751,Lucknow
CUST-00270,Bhavesh Patel,52,Male,Married,1239000,Salaried Corporate,672,Ahmedabad
CUST-00271,Laxmi Gill,29,Female,Married,1024000,Salaried Corporate,724,Pune
CUST-00272,Vineet Dutta,61,Male,Single,1799000,Business Owner,730,Mumbai
CUST-00273,Payal Rao,55,Female,Married,852000,Self-Employed Professional,722,Kolkata
CUST-00274,Sneha Reddy,39,Female,Married,1204000,Business Owner,705,Bengaluru
CUST-00275,Shruti Goel,36,Female,Married,856000,Business Owner,751,Delhi NCR
CUST-00276,Krunal Rao,23,Male,Single,771000,Government Employee,731,Chennai
CUST-00277,Lalit Banerjee,40,Male,Single,1171000,Salaried Corporate,683,Delhi NCR
CUST-00278,Tanvi Garg,44,Female,Married,1310000,Salaried Corporate,767,Lucknow
CUST-00279,Ritu Menon,53,Female,Married,356000,Self-Employed Professional,845,Ahmedabad
CUST-00280,Karan Deshmukh,44,Male,Married,1070000,Business Owner,729,Bengaluru
CUST-00281,Shruti Arora,31,Female,Married,825000,Self-Employed Professional,719,Delhi NCR
CUST-00282,Ananya Joshi,28,Female,Single,452000,Self-Employed Professional,671,Ahmedabad
CUST-00283,Jatin Kapoor,56,Male,Married,889000,Self-Employed Professional,795,Chennai
CUST-00284,Laxmi Joshi,58,Female,Married,990000,Salaried Corporate,751,Hyderabad
CUST-00285,Preeti Nair,60,Female,Married,1231000,Government Employee,674,Pune
CUST-00286,Pankaj Mehra,40,Male,Married,1113000,Salaried Corporate,786,Lucknow
CUST-00287,Vijay Rao,55,Male,Single,1100000,Government Employee,828,Kolkata
CUST-00288,Sapna Patel,45,Female,Single,716000,Self-Employed Professional,657,Hyderabad
CUST-00289,Kamal Jain,55,Male,Married,818000,Self-Employed Professional,622,Kolkata
CUST-00290,Harish Reddy,45,Male,Married,1369000,Salaried Corporate,752,Chennai
CUST-00291,Ushma Gill,49,Female,Single,582000,Salaried Corporate,690,Pune
CUST-00292,Jyoti Goel,38,Female,Married,719000,Government Employee,628,Bengaluru
CUST-00293,Shreya Patel,66,Female,Married,946000,Salaried Corporate,724,Mumbai
CUST-00294,Tanya Roy,38,Female,Married,828000,Salaried Corporate,779,Ahmedabad
CUST-00295,Bhupendra Garg,22,Male,Single,823000,Salaried Corporate,674,Kolkata
CUST-00296,Jitendra Chawla,55,Male,Single,499000,Salaried Corporate,850,Chennai
CUST-00297,Arjun Kulkarni,36,Male,Single,727000,Salaried Corporate,685,Hyderabad
CUST-00298,Devendra Patel,61,Male,Married,1325000,Salaried Corporate,709,Pune
CUST-00299,Vandana Desai,56,Female,Single,1111000,Self-Employed Professional,731,Pune
CUST-00300,Disha Yadav,53,Female,Married,775000,Self-Employed Professional,641,Delhi NCR
CUST-00301,Shreyas Mishra,24,Male,Single,630000,Government Employee,713,Chennai
CUST-00302,Arjun Mukherjee,53,Male,Married,978000,Salaried Corporate,702,Pune
CUST-00303,Shivam Arora,34,Male,Married,708000,Salaried Corporate,667,Mumbai
CUST-00304,Hari Kumar,41,Male,Single,1078000,Salaried Corporate,780,Jaipur
CUST-00305,Shivam Pandey,40,Male,Married,1254000,Business Owner,755,Kolkata
CUST-00306,Anuj Kapoor,28,Male,Married,922000,Salaried Corporate,727,Delhi NCR
CUST-00307,Ashi Mukherjee,27,Female,Married,247000,Self-Employed Professional,821,Chennai
CUST-00308,Aman Pathak,23,Male,Married,906000,Salaried Corporate,799,Mumbai
CUST-00309,Vineet Joshi,37,Male,Married,796000,Salaried Corporate,749,Delhi NCR
CUST-00310,Laxmi Pandey,53,Female,Married,1218000,Salaried Corporate,760,Kolkata
CUST-00311,Rakesh Roy,32,Male,Married,471000,Government Employee,637,Bengaluru
CUST-00312,Komal Das,42,Female,Married,721000,Salaried Corporate,607,Kolkata
CUST-00313,Sanjay Joshi,42,Male,Single,681000,Government Employee,747,Chennai
